aesthetic,related
Hermitpunk,"['Adventurecore', 'Cottagecore', 'Naturecore']"
Heroic Realism,"['American Kitsch', 'Military', 'Nazi Chic', 'Real Life Super Hero', 'Realism', 'Socialist Realism', 'Sovietwave']"
Heroin Chic,"['Androgynous', 'Coquette', 'Drugcore', 'Gamine', 'Grunge', 'Kinderwhore', 'Messy French It Girl', 'Minimalism', 'Lobotomy Chic', 'Stoner', 'Waif']"
Hexatron,"['Abstract Tech', 'Cassette Futurism', 'Cybercore', 'Cyberpunk', 'Dark Aero', 'DORFic', 'Frutiger Aero', 'Frutiger Aurora', 'Laser Grid', 'Metalheart', 'Robotcore', 'Vectorheart']"
HexD,"['Animecore', 'Animecore', 'Blingeecore', 'Drain', 'Emo', 'Glitchcore', 'Goth', 'Krushclub', 'Raver', 'Scene', 'Sextrance', 'Sigilkore', 'Technoneko2000', 'Trillwave', 'Vaporwave', 'Weirdcore', 'Xpiritualism', 'Y2K']"
High School Dream,"['Americana', 'Geek', 'Goth', 'Hot Topic', 'Lo-Fi', 'Nerd', 'Normcore', 'Nostalgiacore', 'Nu-Metal', 'Preppy', 'Punk', 'Stoner', 'Teenage Dream', 'VSCO']"
Hikecore,"['Adventurecore', 'Cabincore', 'Cottagecore', 'Earthcore', 'Goblincore', 'Naturecore']"
Hime Lolita,"['Classic Lolita', 'Fairy Tale', 'Lolita', 'Princesscore', 'Queencore', 'Royalcore', 'Sweet Lolita']"
Hi-NRG,"['Belgian New Beat', 'Disco', 'Hands Up', 'Italo Disco']"
Hip-Hop,"['Belgian New Beat', 'Casino', 'Club', 'Dizela%C5%A1i', 'Gangsta Rap', 'Grime Art', 'Hypebeast', 'Lo-Fi', 'Memphis Rap', 'Moe Swag', 'Motomami', 'MTV 2 Overcast', 'Necrotrap', 'Nu-Metal', 'Pokem%C3%B3n', 'Raxet', 'R%26B', 'Shibuya Punk', 'Shiny Suit 97', 'Stripcore', 'Tecktonik', 'Trillwave', 'Ultraviolet Crush', 'Urbancore', 'UrBling']"
Hipness Purgatory,"['Beatnik', 'Bohemian', 'Hipster', 'Indie', 'Indiecraft', 'Indie Sleaze', 'Internet Awesomesauce', 'Scrapbook', 'Twee', 'Urbancore', 'UrBling', 'Wild Child']"
Hippie,"['Afrofuturism', 'Art Hoe', 'Beatnik', 'Chicha', 'Corporate Hippie', 'Craftcore', 'Drugcore', 'Glowwave', 'Grunge', 'Lovecore', 'Punk', 'Psychedelica', 'Stoner', 'Americana', 'Y%C3%A9-y%C3%A9 Girl']"
Hipster,"['Beatnik', 'Cocalar', 'Dandy', 'Indie', 'Hipness Purgatory', '2014 Tumblr', 'ElectroPop 08', 'Indie Sleaze', 'Minimalism', 'Nerd', 'Normcore', 'Nu-Goth', 'Wild Child', 'Folk Punk', 'Scene']"
Historical Americana,"['Americana', 'Classicism']"
Himbocore,"['Bimbocore', 'Blingeecore', 'Disco', 'Sparklecore']"
Holo,"['Dark Aero', 'Flat Design', 'Frutiger Aero', 'Glassmorphism', 'Skeuomorphism']"
Holosexual,"['Baddie', 'Cybercore', 'Grunge', 'Rainbowcore', 'Raver', 'Seapunk', 'Vaporwave']"
Hollywood Regency,"['Art Deco', 'Baroque', 'Hellenic', 'Maximalism', 'Mid-Century Modern', 'Old Hollywood', 'Regency', 'Rococo', 'Tropical']"
Home 2K,"['Frutiger Aero', 'McBling', 'Surf Crush', 'The WB Crush', 'TGIF Crush', 'UrBling']"
Honeycore,"['Warmcore', 'Cottagecore', 'Witchcore', 'Foodie', 'Comfy/Cozy']"
Horror,"['Analog Horror', 'B-Movie Horror', 'Catholic Horror', 'Clowncore', 'Deep TikTok', 'Devilcore', 'Ero-Guro', 'Gesugao', 'Gorecore', 'Gothic', 'Grime Art', 'Grotesque', 'Gurokawa', 'Halloween', 'Violencecore', 'Hip-Hop', 'Metal', 'Nu-Metal', 'Vampire', 'Werewolf', 'Witchcore', 'Revcore']"
Horror Academia,"['Chaotic Academia', 'Dark Academia', 'Darkest Academia', 'Grunge', 'Horror']"
Hot Topic,"['Mallgoth', 'Animecore', 'Cartooncore', 'Cybergoth', 'Cyberpunk', 'E-Boy', 'E-Girl', 'Emo', 'Geek', 'Gothcore', 'Grunge', 'Hallyu', 'Lounge', 'Nu-Metal', 'Punk', 'Raver', 'Scene', 'Teenpunk', 'Vampire', '2014 Tumblr']"
Hydrogen,"['Liminal Space', 'Retro-Futurism', 'Spacecore', 'Surrealism', 'Vaporwave', 'Y2K', 'Webcore', 'Weirdcore']"
Hypebeast,"['Cani', 'Hip-Hop', 'Urbancore', 'Racaille', 'Shanzhai', 'Techwear']"
Hyperborean,"['Cyberdelic', 'Doomer', 'Sigma', 'Glitchcore', 'Hands Up', 'Medieval', 'Larpercore', 'Politicalwave']"
Hyperpop,"['Animecore', 'Baddie', 'Cybercore', 'Dead Inside', 'E-Boy', 'E-Girl', 'ElectroPop 08', 'Icepunk', 'Krushclub', 'McBling', 'Raver', 'Seapunk', 'Slimepunk', 'Trillwave', 'Vaporwave']"
Icepunk,"['Cleancore', 'Cybercore', 'Holosexual', 'Poolcore', 'Seapunk', 'Vaporwave', 'Winter', 'Starrflesh', 'Frutiger Aero']"
Imaginarium,"['Acid Pixie', 'Acidwave', 'Bizarro Fiction', 'Craftcore', 'Cyberdelic', 'DORFic', 'Dreamcore', 'Fotonight Web', 'Frutiger Aero', 'Frutiger Eco', 'Frutiger Metro', 'Kidcore', 'Nostalgiacore', 'Psychedelica', 'Rainbowcore', 'Silicon Dreams', 'Silly', 'Solarpunk', 'Surrealism', 'Utopian Scholastic', 'Vaporwave', 'Vibrant Academia', 'Y2K', '2010s Internet']"
Imperial Aztec,"['American Pioneers', 'Western']"
Imperial Romanov,"['Baroque', 'Kingcore', 'Knightcore', 'Princecore', 'Princesscore', 'Queencore', 'Rococo', 'Romantic Academia', 'Royalcore', 'Spanish Golden Age']"
Impressionism,"['Art Academia', 'Post-Impressionism', 'Realism']"
Incel,"['Cobsoncore', 'Doomer', 'Emo', 'Larpercore', 'Femcel Weeaboo', 'Scene', 'Weeaboo', 'Waif']"
Indicolite,"['Ethereal', 'Pearly', 'Sparklecore']"
Indie,"['Indie Kid', 'Indie Sleaze', 'Dark Academia', 'Doomer', 'Light Academia', 'Romantic Academia', 'Alternative', 'Cuddle Party', 'Dark Paradise', 'Dreamy', 'Grunge', 'Lo-Fi', 'Nostalgiacore', 'Poppare', 'Shoegaze', 'Skater', 'Twee', 'Vaporwave', 'Vh1 Sepia Sky']"
Indiecraft,"['Hipness Purgatory', 'Indie', 'Kidcore', 'Skeuomorphism']"
Indie Kid,"['Acidwave', 'Cuddle Party', 'Dreamy', 'E-Girl', 'E-Boy', 'Indie', 'Kidcore', 'Lo-Fi', 'Plant Mom', 'Scene', 'Skater', 'Vaporwave']"
Indie Sleaze,"['2014 Tumblr', 'Art Hoe', 'Britpop', 'Disco', 'ElectroPop 08', 'Frutiger Aero', 'Grunge', 'Hipster', 'Indie', 'McBling', 'Milipili', 'Poolcore', 'Pop Art', 'Superflat Pop', 'Surf Crush', 'VSCO']"
Internet Academia,"['Chaotic Academia', 'Art Academia', 'Dark Academia', 'Studyblr', 'Comfy/Cozy', 'Studyplace', 'Dreamy']"
Internet Awesomesauce,"['2010s Internet', 'Busukawaii', 'Dollar Store Vernacular', 'Gamercore', 'Hipness Purgatory', 'Neo-Pop', 'LOLcore', 'Pop Art', 'Scene', 'Superflat Pop', 'Synthwave', 'Vaporwave']"
Isocore,[]
I-Spy,"['Cozy Childhood Hideaway', 'Crowcore', 'Imaginarium', 'Indiecraft', 'Whimsigothic']"
Italian Futurism,"['Aeropittura', 'Art Deco', 'Cubism', 'Cyberpunk', 'Cyberprep', 'Cyberparadism', 'Modernism', 'Precisionism', 'Socialist Realism', 'Surrealism', 'Vorticism', 'Zenitism']"
Italian Mafia,"['Boujee', 'Casino', 'Club', 'Drugcore', 'Femme Fatale', 'Jersey Shore', 'Playboy', 'Romantic Italian', 'Scrapper', 'Yakuza', 'Luxury']"
Italian Renaissance,"['Art Academia', 'Artcore', 'Baroque', 'Knightcore', 'Spanish Golden Age']"
Italo Disco,"['Disco', 'Disco Polo', 'Hands Up', 'Hi-NRG', 'Synthwave']"
Itasha,"['Animecore', 'Cyberpunk', 'Neo-Tokyo', 'Sextrance', 'Visual Pollution', 'Weeaboo', 'Wota']"
Japanese New Left,"['Folk Punk', 'Hippie', 'Riotwave']"
Jejemon,"['Cyberspace Webrooms', 'Emo', 'Pokem%C3%B3n', 'Scene', 'Shamate', 'Hip-Hop']"
Jersey Shore,"['Baddie', 'Cagole', 'Chav', 'Cocalar', 'Racaille']"
Jirai Kei,"['Animecore', 'Cutecore', 'Drugcore', 'E-Girl', 'Kawaii', 'Kuromicore', 'Larme Kei', 'Melodycore', 'PEEPS', 'Sanriocore', 'Vampire', 'Yami Kawaii', 'Yandere']"
Jock,[]
Joyride,"['After Hours', 'Dark Paradise', 'Rainy Day']"
Juggalo,"['Clowncore', 'Furry', 'Hip-Hop', 'Horror', 'Nu-Metal']"
Junglecore,"['Summer', 'Tropical', 'Naturecore', 'Adventurecore', 'Earthcore', 'Bohemian', 'Paleocore', 'Forestpunk', 'Cyberparadism']"
Jungle Grunge,"['Dark Naturalism', 'Gloomcore', 'Junglecore', 'Naturecore']"
Karasu Zoku,"['Nu-Goth', 'Goth', 'Dark Paradise']"
Kawaii,"['Animecore', 'Busukawaii', 'Cutecore', 'Dokukawaii', 'Dollcore', 'Decora', 'Dual Kawaii', 'Erokawa', 'Fairy Kei', 'Femboy', 'Girly (Japanese)', 'Gurokawa', 'Harajuku Fashion', 'Heisei Retro', 'Kawaii Gamer', 'Kuromicore', 'Lolita', 'Melodycore', 'Mizuiro', 'Moe', 'Moe Swag', 'Nanchatte Seifuku', 'Pastel Goth', 'Sanriocore', 'Scrapbook', 'Sweet Lolita', 'Wota', 'Yami Kawaii', 'Yume Kawaii']"
Kawaii Gamer,"['Animecore', 'E-Girl', 'Femcel Weeaboo', 'Gamercore', 'Kawaii', 'Lo-Fi', 'Mizuiro']"
Kidcore,"['Arcadecore', 'Back-to-School', 'Bubblegum Dance', 'Cartooncore', 'Cleancore', 'Clowncore', 'Cuddle Party', 'Decora', 'Dopamine', 'Dreamcore', 'Femboy', 'Funwaacore', 'Glitchcore', 'Glowwave', 'Imaginarium', 'Indie Kid', 'Kid Science', 'Late 2000s Elementary School', 'Memphis Design', 'Nostalgiacore', 'LOLcore', 'Pop Kei', 'Rainbowcore', 'Sanriocore', 'Scene', 'Tweencore', 'Webcore', 'Wholesome Meme']"
Kid Science,"['Kidcore', 'Med-Tech Visions', 'Science Academia', 'Utopian Scholastic']"
Kimoicore,"['Vaporwave', 'Dokukawaii', 'Dreamcore', 'Gurokawa', 'Mind Murder', 'Pastel Goth', 'Lo-Fi', 'Weirdcore']"
Kinderwhore,"['Babycore', 'Babygirl', 'Grunge', 'Heroin Chic', 'Morute', 'Nymphet', 'Punk', 'Thriftcore', 'Trailer Park Princess', 'Traumacore', 'Yami Kawaii']"
Kingcore,"['Knightcore', 'Princecore', 'Princesscore', 'Queencore', 'Rangercore', 'Royalcore', 'Lolita', 'Ballet Academia', 'Fantasy', 'New Romantic', 'Fairycore', 'Strega', 'Forestpunk']"
King Gas,[]
Kitschy,"['Art Deco', 'Chicha', 'Whimsigothic', 'Grandparentcore', 'Shabby Chic', 'Dollcore', 'Morute', 'Babycore', 'Kawaii', 'Delicate Sweet', 'Cottagecore', 'Trailer Park Princess', 'American Kitsch']"
Kiwiana,"['Americana', 'Australiana', 'Espa%C3%B1olada']"
Knightcore,"['Bardcore', 'Kingcore', 'Medieval', 'Princecore', 'Princesscore', 'Queencore', 'Rangercore', 'Royalcore']"
Kogal,"['Gyaru', 'Kawaii', 'High School Dream', 'Nanchatte Seifuku', 'Erokawa', 'Bodikon']"
Korean Cozy Beige,"['Soft Morningcore', 'Comfy/Cozy', 'Coffee House/Cafe']"
Krushclub,"['HexD', 'Breakcore', 'Dark Y2K', 'Drain', 'Emo', 'ElectroPop 08', 'Grunge', 'Hands Up', 'Hyperpop', 'Neo-Tribal', 'Low Poly', 'Raver', 'Scene', 'Sigilkore', 'Urbancore']"
Kuromicore,"['Animecore', 'Dual Kawaii', 'E-Girl', 'Girly (Japanese)', 'Kawaii', 'Jirai Kei', 'Kidcore', 'Melodycore', 'Pastel Goth', 'Sanriocore', 'Traumacore', 'Yami Kawaii']"
Labcore,"['Mad Scientist', 'Science Academia', 'Vaporwave']"
Lagenlook,"['Bohemian', 'Hippie', 'Minimalism', 'Mori Kei']"
Larme Kei,"['Babygirl', 'Balletcore', 'Dark Nymphet', 'Dual Kawaii', 'French Girly', 'Girly (Japanese)', 'Lovecore', 'Nymphet', 'Mote Kei', 'Coquette']"
Larpercore,"['Balkan Violence Tumblr', 'Cultcore', 'Cyberneticpunk', 'Doomer', 'Edgy Meme', 'Emo', 'Femcel Weeaboo', 'Hacker', 'Hatecore', 'Hyperborean', 'Incel', 'Military', 'Necrotrap', 'PSY-OP Girl', 'Paramilitary', 'Politicalwave', 'Sigma', 'Terrorwave', 'Toxiccore', 'Violencecore', 'Weeaboo']"
La Sape,"['Swenkas', 'Metrosexual', 'New Romantic', 'Afrofuturism', 'Afro-Victorian', 'Dandy']"
Las Movidas,"['Avant-garde', 'Bakala', 'Basque Radical Rock', 'Deathrock', 'Goth', 'Grunge', 'Mod', 'Modernism', 'New Romantic', 'New Wave', 'Party Animal', 'Pijo', 'Post-Punk', 'Punk', 'Rock', 'Trad Goth']"
Laser Grid,"['Cassette Futurism', 'Memphis Lite', 'Silicon Dreams', 'Synthwave', 'Vaporwave', 'Vectorcore']"
Late 2000s Elementary School,"['Back-to-School', 'Kid Science', 'Kidcore', 'Nostalgiacore']"
Lichencore,[]
Light Academia,"['Art Academia', 'Androgynous', 'Bohemian', 'Classic Academia', 'Comfy/Cozy', 'Cottagecore', 'Classicism', 'Dark Academia', 'Green Academia', 'Old Money', 'Preppy', 'Romantic Academia', 'Studyblr', 'Studyplace', 'Victorian']"
Lightcore,"['Darkcore', 'Dreamcore', 'Liminal Space', 'Weirdcore']"
Ligne Claire,"['Adventurecore', 'Cartooncore', 'Nostalgiacore', 'Rubberhose', 'Urbancore', 'Wimmelbilderbuch']"
Lilac Femme,"['Blingeecore', 'Bloomcore', 'Drain', 'Fairycore', 'Gra%C5%BCynacore', 'McBling', 'Retro Fairycore', 'Sigilkore', 'Sparklecore']"
Lil Girl,"['Softie', 'Tweencore', 'Hipster', 'Babygirl', 'Babycore', 'Kidcore']"
Liminal Space,"['Acidwave', 'After Hours', 'Dark Paradise', 'Dreamcore', 'Dreamy', 'Frutiger Aero', 'Hydrogen', 'Mizuiro', 'Poolcore', 'Precisionism', 'Surrealism', 'Traumacore', 'Urbancore', 'Vaporwave', 'Weirdcore']"
Lit Kid,"['Kidcore', 'Vibrant Academia']"
Live Laugh Love,"['2014 Girly', 'Cottagecore', 'Girly Girl', 'Minimalism', 'Shabby Chic', 'Soft Countriana', 'Wholesome Meme']"
Lobotomy Chic,"['Dark Nymphet', 'Grunge', 'Heroin Chic', 'Indie', 'Indie Sleaze', 'Kinderwhore', 'Midwest Gothic', 'Morute', 'Sacricore', 'Trailer Park Princess', 'Twilightcore', 'Waif', 'Weirdcore']"
Lo-Fi,"['After Hours', 'Animecore', 'Cartooncore', 'City Pop', 'Coffee House/Cafe', 'Cuddle Party', 'Cybercore', 'Dazecore', 'Dreamy', 'Doomer', 'Ethereal', 'Golden Hour', 'High School Dream', 'Hip-Hop', 'Indie', 'Lovecore', 'Mallgoth', 'Normcore', 'Sextrance', 'Shoegaze', 'Spiritcore', 'Synthwave', 'Urbancore', 'Vaporwave']"
Lolailo,"['Cani', 'Chicha', 'Choni', 'Fanfare', 'Flamenco', 'Motomami', 'Tango']"
LOLcore,"['2010s Internet', 'Animecore', 'Avant-garde', 'Bubblegum Dance', 'Cartooncore', 'Clowncore', 'Club Kids', 'Funwaacore', 'Gen Z Maximalism', 'Goofcore', 'Internet Awesomesauce', 'Kidcore', 'Milipili', 'Monstercore', 'Pop Art', 'Raver']"
Lolita,"['Aristocrat', 'Artcore', 'Boystyle', 'Dollcore', 'Goth', 'Gothic', 'Harajuku Fashion', 'Kawaii', 'Mori Kei', 'Rococo', 'Strega', 'Coquette', 'Yume Kawaii', 'Romantic Goth', 'Victorian', 'Victorian Goth', 'Classic Lolita', 'Gothic Lolita', 'Hime Lolita', 'Sweet Lolita']"
Long Island,"['Americana', 'High School Dream', 'Midwest Emo']"
Lounge,"['Casino', 'Electro Swing', 'Raygun Gothic', 'Shibuya Punk', 'Tiki', 'Tropical', 'Vacation Dadcore', 'Vaporwave']"
Lovecore,"['Angelcore', 'Erokawa', 'Girl-Next-Door', 'Violencecore', 'Devilcore', 'Larme Kei', 'Rococo', 'Romantic Academia', 'Romantic Italian', 'Wholesome Meme']"
Low Poly,"['7 HD', '8-Bit', 'Analog Horror', 'Cybercore', 'Kidcore', 'Liminal Space', 'Krushclub', 'Modernism', 'Nostalgiacore', 'Silicon Dreams', 'Vectorcore']"
Lunarpunk,"['Anime New Moon', 'Cyberpunk', 'Solarpunk', 'Synthwave', 'Vaporwave']"
Luxury,"['New Money', 'Grifes', 'Boujee', 'Haute Couture', 'Pijo', 'Playboy', 'Tomato Girl Summer']"
Mad Scientist,"['Science Academia', 'Labcore']"
Magical Girl,"['Animecore', 'Auroracore', 'Cartooncore', 'Fairy Kei', 'Kawaii', 'Moe', 'Nostalgiacore', 'Nanchatte Seifuku', 'Shoujo', 'Yume Kawaii']"
Maid,"['Animecore', 'Babycore', 'Erokawa', 'Femboy', 'Kawaii', 'Kawaii Gamer', 'Mizuiro', 'Tacticool', 'Weeaboo']"
Major League Gaming,"['2010s Internet', 'Arabfunny', 'Crackhead', 'Deep Fried Meme', 'Gachimuchi', 'Internet Awesomesauce', 'Moe Swag', 'Old Meme', 'OtoMAD', 'Surreal Memer', 'Xpiritualism']"
Mallgoth,"['Corporate Punk', 'Cybergoth', 'E-Girl', 'Emo', 'Goth', 'Health Goth', 'Hot Topic', 'Metal', 'New Wave', 'Nu-Goth', 'Nu-Metal', 'Pastel Goth', 'Post-Punk', 'Punk', 'Teenpunk', 'Witch House']"
Mall Ninja,"['Animecore', 'Incel', 'Military', 'Nerd', 'Tacticool', 'Scrapper']"
Mallsoft,"['After Hours', 'Arcadecore', 'Boujee', 'Corporate', 'Emo', 'Grunge', 'Hip-Hop', 'Hot Topic', 'Kidcore', 'Liminal Space', 'Mallgoth', 'Memphis Design', 'Minivan Rock', 'Nostalgiacore', 'Nu-Metal', 'Pretty Preppy', 'Scene', 'Synthwave', 'Trillwave', 'Tweencore', 'Vaporwave', 'VSCO Preppy']"
Malwarecore,"['Dollar Store Vernacular', 'Phony Bureaucracy', 'Webcore']"
Manguebeat,"['Acidwave', 'Psychedelica', 'Raver']"
Manly Men,"['Boy Next Door', 'Bro', 'Femboy', 'Girly Girl', 'Himbocore', 'Sigma', 'Tomboy']"
Mary Sue,"['2010s Internet', 'EXEcore', 'Fairycore', 'Fantasy', 'Furry', 'Magical Girl', 'Neko', 'Royalcore', 'Scene', 'Vampire', 'Weeaboo', 'Werewolf']"
Maximalism,"['Camp', 'Gen Z Maximalism', 'Grandmillenial', 'Hollywood Regency']"
McBling,"['Ah Beng', 'Baddie', 'Barbiecore', 'Bimbocore', 'Bleak Crush', 'Blingeecore', 'Boujee', 'Bright Tertiaries', 'Brutal Industrial', 'Bratzcore', 'Bubblegum Bitch', 'Bubblegum Coquette', 'Cagole', 'Camp', 'Casino', 'Chav', 'Cheiron Crush', 'Cherry Emoji Twitter', 'Choni', 'Coquette', 'Cyberspace Webrooms', 'Cyber Stylin%27', 'Dark Y2K', 'Dionysism', 'Drugcore', 'ElectroPop 08', 'Emo', 'Eshay', 'Flop TikTok', 'Four Colors', 'Frutiger Aero', 'Frutiger Metro', 'Gen X Soft Club', 'Gyaru', 'Home 2K', 'Hyperpop', 'Indie Sleaze', 'Lilac Femme', 'Metalheart', 'Minivan Rock', 'MTV Green Sky', 'MTV 2 Overcast', 'Nostalgiacore', 'Pixelscape', 'Pretty Preppy', 'R%26B', 'Superflat Pop', 'Surf Crush', 'The WB Crush', 'Total Afternoon Live', 'Trailer Park Princess', 'Triple Chic', 'Tweencore', 'UrBling', 'Vectorflourish', '80 Thousand', '2K1', '2K5', '2K7']"
Meatcore,"['Gorecore', 'Ero-Guro', 'Devilcore', 'Weirdcore', 'Revcore', 'Starrflesh']"
Med-Tech Visions,"['Abstract Tech', 'Kid Science', 'Metalheart']"
Medicalcore,"['Cripplepunk', 'Cleancore', 'Drugcore', 'Plaguecore', 'Traumacore', 'Science Academia', 'Yami Kawaii']"
Medieval,"['Aristocrat', 'Bardcore', 'Catholic Horror', 'Neo-Celtic', 'Romanesque']"
Medieval Fantasy,"['Fantasy', 'Fairy Tale', 'Knightcore', 'Royalcore', 'Bardcore', 'Dragoncore', 'Witchcore', 'Cottagecore']"
Melodycore,"['Animecore', 'Babycore', 'Dual Kawaii', 'Girly (Japanese)', 'Jirai Kei', 'Kawaii', 'Kawaii Gamer', 'Kuromicore', 'Larme Kei', 'Sanriocore', 'Softie', 'Yume Kawaii']"
Memphis Design,"['Arcadecore', 'Bauhaus', 'Corporate Memphis', 'Cyberpunk', 'Cyberdelic', 'De Stijl', 'Dopamine', 'Factory Pomo', 'Flat Design', 'Frutiger Aero', 'Future Funk', 'Global Village Coffeehouse', 'Grunge', 'Hair Metal', 'Kidcore', 'Mallsoft', 'Memphis Lite', 'Minimalism', 'Neubrutalism', 'New Wave', 'Pop Art', 'Synthwave', 'Ultraviolet Crush', 'Utopian Scholastic', 'Vaporwave', 'Y2K']"
Memphis Lite,"['Cubism', 'Art Deco', 'Diner', 'Atompunk', 'Laser Grid', 'Memphis Design', 'Ultraviolet Crush', 'Whimsigothic']"
Memphis Rap,"['Driftcore', 'Gangst%C3%A6xtemism', 'Gangsta Rap', 'Hip-Hop', 'Trillwave', 'Vaporwave']"
Mermaid,"['Coconut Girl', 'Seapunk', 'Surf Crush', 'Selkiecore', 'Nautical', 'Pirate', 'Reefwave', 'Auroracore', 'Fantasy', 'Dark Nautical', 'Starrflesh', 'Unicorncore']"
Messy French It Girl,"['French It Girl', 'Coquette', 'Rockstar GF', 'Downtown Girl', 'Heroin Chic', 'Waif']"
Metal,"['Grunge', 'Death Metal', 'Black Metal', 'Nu-Metal', 'Psychedelica', 'Bro', 'Goth', 'Neo-Tribal', 'Opium', 'Synthwave', 'Thrasher', 'Vampire', 'Witchcore']"
Metalcore,"['Emo', 'Nu-Metal', 'Punk']"
Metalheart,"['Abstract Tech', 'Breakcore', 'Cyberdelic', 'Chromecore', 'Corporate Grunge', 'Cybercore', 'Cyberpunk', 'Dark Aero', 'Gen X Soft Club', 'Hexatron', 'Hipness Purgatory', 'McBling', 'Med-Tech Visions', 'Neo-Tribal', 'Nu-Metal', 'UrBling', 'Vectorheart', 'Y2K']"
Metrosexual,"['Boujee', 'Corporate', 'Chic Modernist', 'Dandy', 'Miami Metro', 'Pijo', 'Playboy', 'Androgynous', 'New Romantic', 'Hallyu']"
Miami Metro,"['Cartelcore', 'Club', 'Foodie', 'Metrosexual', 'Synthwave', 'Tropical', 'Tropical Disco']"
Mid-Century Modern,"['Art Deco', 'Hollywood Regency', 'Neo-Breton Style', '50s Suburbia']"
Midwest Emo,"['Doomer', 'Normcore', 'Indie', 'Emo', 'Pokem%C3%B3n']"
Midwest Gothic,"['After Hours', 'American Gothic', 'Anglo Gothic', 'Cottagegore', 'Coffinwood', 'Cryptidcore', 'Forestpunk', 'Liminal Space', 'Regional Gothic', 'Southern Gothic', 'Suburban Gothic']"
Milipili,"['Basic Girl', 'Cayetana', 'ElectroPop 08', 'Gen X Soft Club', 'Indie Sleaze', 'LOLcore', 'Nostalgiacore', '2K1', 'Pijo', 'Raver', 'Tweencore', 'VSCO']"
Military,"['Aeropittura', 'Heroic Realism', 'Northern Irish Muralism', 'Larpercore', 'PSY-OP Girl', 'Socialist Realism', 'Trenchcore', 'Vectorcore', 'Taisho Roman', 'Yanki']"
Milk,"['Kawaii', 'Babycore', 'Kidcore', 'Grunge', 'Foodie', 'Vanilla Girl']"
Mind Murder,"['Acidwave', 'After Hours', 'DarkErrorcore', 'Emo', 'Glitchcore', 'Hatecore', 'Psychedelica', 'Scene', 'Traumacore', 'Vaporwave', 'Yandere']"
Miniature,"['Art Academia', 'Baroque', 'Classicism', 'Craftcore', 'Crowcore', 'Goblincore', 'Shabby Chic', 'Tinycore']"
Minimalism,"['Bauhaus', 'Chic Modernist', 'Comfy/Cozy', 'Corporate Memphis', 'Cyberminimalism', 'Cyberparadism', 'De Stijl', 'Flat Design', 'Heroin Chic', 'Precisionism', 'Purism', 'Scandinavian Design', 'Suprematism']"
Minivan Rock,"['Alternative', 'Frutiger Aero', 'Grunge', 'McBling', 'Nu-Metal', 'Shiny Suit 97', 'The WB Crush', 'Y2K', '2K1']"
Minivoid,"['Frutiger Aero', 'Skeuomorphism']"
Miscellaneous Academia,"['After Hours', 'Changelingcore', 'Comfy/Cozy', 'Cryptid Academia', 'Chaotic Academia', 'Web Creep']"
Mizuiro,"['Angelcore', 'Auroracore', 'Chromecore', 'Cybercore', 'Dazecore', 'Dreamy', 'Kawaii Gamer', 'Liminal Space', 'Neo-Tribal', 'Otaku', 'Poolcore', 'Rainy Day', 'Seapunk', 'Yume Kawaii']"
Mob Wife,"['Italian Mafia', 'Maximalism', 'Rockstar GF', 'Boujee', 'Femme Fatale', 'Winter Fairy Coquette']"
Mod,"['Americana', 'Beatnik', 'Dolly Girl', 'Greaser', 'Poppare', 'Y%C3%A9-y%C3%A9 Girl']"
Modernism,"['Atompunk', 'Avant-garde', 'Constructivism', 'Cubism', 'De Stijl', 'Expressionism', 'Fauvism', 'Flapper', 'Impressionism', 'Modernisme', 'Neo-Breton Style', 'Neo-Pop', 'Photorealism', 'Post-Impressionism', 'Precisionism', 'Purism', 'Suprematism', 'Surrealism', 'Vorticism']"
Modernisme,"['Art Nouveau', 'Art Deco', 'Arts and Crafts Movement', 'Avant-garde', 'Baroque', 'Fantasy', 'Gothic', 'Modernism', 'Neoclassicism', 'Romanticism']"
Moe,"['Animecore', 'Denpa', 'Erokawa', 'Itasha', 'Kawaii', 'Otaku', 'Softie', 'Moe Swag', 'Weeaboo', 'Wota']"
Moe Swag,"['2010s Internet', 'Animecore', 'Gangst%C3%A6xtemism', 'Future Funk', 'Hip-Hop', 'Kawaii', 'Moe', 'Neko', 'Nerdcore', 'Trillwave', 'UrBling', 'Wholesome Meme']"
Monstercore,"['Horror', 'Vampire', 'Werewolf', 'Cryptidcore', 'Devilcore', 'Feralcore', 'Alien', 'Gurokawa', 'Changelingcore', 'Voidpunk', 'LOLcore', 'Y%C5%8Dkai', 'Starrflesh']"
Monumentality,"['Royalcore', 'Dieselpunk', 'Victorian', 'Rococo', 'Baroque', 'Minimalism', 'Casino', 'Maximalism', 'Neoclassicism']"
Mori Kei,"['Classic Lolita', 'Cottagecore', 'Cult Party Kei', 'Dolly Kei', 'Fairycore', 'Fairy Grunge', 'Forestpunk', 'Goblincore', 'Lagenlook', 'Lolita', 'Naturecore', 'Shabby Chic', 'Shironuri', 'Strega']"
Morute,"['Catholic Horror', 'Cult Party Kei', 'Delicate Sweet', 'Gothic', 'Kinderwhore', 'Midwest Gothic', 'Nymphet', 'Southern Gothic', 'Traumacore', 'Trailer Park Princess', 'Welwitschia Goth', 'Waif', 'Yami Kawaii']"
Mothcore,"['Goblincore', 'Vulture Culture', 'Cottagecore']"
